DATE,DATEFULL,DAY,HOURS,MONTH,P10,P3,P5,_ID,_REV
20,"Sun, 20 Nov 2016 16:41:24 GMT",0,16,10,8,2,5,d8ccecf0bf808f8c93d48ba8b53b0852,1-c5f8816fee7b0d3ffeb4ce852b3cd91c
20,"Sun, 20 Nov 2016 16:41:24 GMT",0,16,10,8,2,5,059ad8eb1ee33197d5421eff9ac1b34b,1-c5f8816fee7b0d3ffeb4ce852b3cd91c
20,"Sun, 20 Nov 2016 17:03:16 GMT",0,17,10,8,2,5,48e8bd5ebfe8cba8022aaa41cd016677,1-a496367d307378941edd64696acf8ae4
20,"Sun, 20 Nov 2016 20:37:49 GMT",0,20,10,8,2,5,478f7b3c781c4baab7de6a105a154422,1-5fd67b11ab158e1658c0840ac4bb986a
20,"Sun, 20 Nov 2016 16:53:16 GMT",0,16,10,8,2,5,fbaacb1a7d8d21b0e9e92ca292e7f22c,1-dac46041ee85da805d81c316f1be2cd8
20,"Sun, 20 Nov 2016 18:23:16 GMT",0,18,10,8,2,5,56922ecd1df61f1baf9bf29a321908c5,1-e6f56a3972d4af912c5ed329f4b96f18
20,"Sun, 20 Nov 2016 17:13:16 GMT",0,17,10,8,2,5,43f9eac17da03d9056d987fbbe73cc7e,1-203ed6189acbbbc8fb42c539c7362e93
20,"Sun, 20 Nov 2016 18:28:17 GMT",0,18,10,8,2,5,eef6a6533eb4061e32d5a892e4836d89,1-4b4231bc58ae492a18eb475375cea1aa
20,"Sun, 20 Nov 2016 17:23:16 GMT",0,17,10,8,2,5,48e8bd5ebfe8cba8022aaa41cdab3074,1-6d975f03bf4d3b770df104466eee2e59
20,"Sun, 20 Nov 2016 17:33:16 GMT",0,17,10,8,2,5,053d27d67efb0f075e63e9dd28a87274,1-ef1ce8ff4e1c857de5105526356f39b5
20,"Sun, 20 Nov 2016 18:38:17 GMT",0,18,10,8,2,5,6743ad9e57e402f4d256321d3d060387,1-b121449d35a417e4d7e23f5af9a05e41
20,"Sun, 20 Nov 2016 16:48:16 GMT",0,16,10,8,2,5,6ef335f12957040d0818872ef9ab7d99,1-658c486b39c0220f747ea32704ac3abe
20,"Sun, 20 Nov 2016 17:18:16 GMT",0,17,10,8,2,5,a318715a137cda2eb0dfba9b3fc18005,1-2d978666945510cb42a5f6b331e29e20
20,"Sun, 20 Nov 2016 18:08:17 GMT",0,18,10,8,2,5,ec1569ec7b612cd2c859ee6212467ba0,1-cf375fee886493cd9b3bff197d6f6c0c
20,"Sun, 20 Nov 2016 20:12:49 GMT",0,20,10,8,2,5,af4d5e89d4cf6511d10d9491f1ed8628,1-21cdd2b3673b195fb6ae07609372ac8e
20,"Sun, 20 Nov 2016 17:53:16 GMT",0,17,10,8,2,5,2b39dc909199ab1a550033ef9e4a061c,1-c1f98344ef1ce9fe7139de05143a12f3
20,"Sun, 20 Nov 2016 19:13:59 GMT",0,19,10,8,2,5,fe62288640e93f5ef8f392a5c10f68f5,1-57fd045909738cf0434fd6e34105c61c
20,"Sun, 20 Nov 2016 19:08:59 GMT",0,19,10,8,2,5,c4b6afff5ba5821b2bb2da68a37026eb,1-89c790727c1d0777b14ecdc2681747be
20,"Sun, 20 Nov 2016 19:47:49 GMT",0,19,10,8,2,5,c3be3eba7e10a6852508ef92e2b65e47,1-6acf9d1182778c15042f587a884d1d63
20,"Sun, 20 Nov 2016 18:33:16 GMT",0,18,10,8,2,5,1534df62d2587284a5670837592a0275,1-fa6fc4742979873de0da28f85e957d6b
20,"Sun, 20 Nov 2016 19:28:59 GMT",0,19,10,8,2,5,4298a8b7077bc194e98a0cdc800ad7f5,1-adacec0b207235a89b275cbdec3b6a03
20,"Sun, 20 Nov 2016 20:50:34 GMT",0,20,10,8,2,5,478f7b3c781c4baab7de6a105a964e52,1-1376b0cb710977ede8205e6e21bd28f0
20,"Sun, 20 Nov 2016 21:06:55 GMT",0,21,10,8,2,5,e15fc5fbb742e8b8a214c8b2f8d0d585,1-d02aa5770333f895c4d7b5df7867e5c4
20,"Sun, 20 Nov 2016 17:28:17 GMT",0,17,10,8,2,5,48e8bd5ebfe8cba8022aaa41cdd82d1e,1-91593e9dde1f1bc4e317a57cb040b480
20,"Sun, 20 Nov 2016 17:43:16 GMT",0,17,10,8,2,5,9fbcd2814fa4d2fd1f78c9596207dedb,1-ee517fbdbf7b8d3846209f2b5886c350
20,"Sun, 20 Nov 2016 18:53:16 GMT",0,18,10,8,2,5,93f9eec8ab0e9a15a6991fbf95c91e6d,1-2595ab7b6b013dd14904274b91773e74
20,"Sun, 20 Nov 2016 18:43:16 GMT",0,18,10,8,2,5,85e2377ac6acaa8001c55448f683178b,1-4f37066384459666b08d108ad976795f
20,"Sun, 20 Nov 2016 19:18:59 GMT",0,19,10,8,2,5,534c580b06e05d8271e29612f5463e4a,1-f30903c05a440572ff3dd1e14c09bc0a
